X,Y,PORTARV,icon_url
-48.686088192502,-27.6257426983053,"3",./0.png
-48.6862074678142,-27.6257286079884,"3",./0.png
-48.6861597576893,-27.6256863370268,"3",./0.png
-48.6862472262516,-27.6256616789583,"3",./0.png
-48.6862989122203,-27.6256933821882,"3",./0.png
-48.6865175836261,-27.6256264531366,"3",./0.png
-48.6865851729697,-27.6255489562888,"3",./0.png
-48.686442042595,-27.6255806595514,"3",./0.png
-48.6867044482819,-27.625534865947,"3",./0.png
-48.6867402308756,-27.6254644142106,"3",./0.png
-48.6868356511254,-27.6254538464462,"3",./0.png
-48.686887337094,-27.6254890723235,"3",./0.png
-48.6868117960629,-27.6255313433613,"3",./0.png
-48.6870066124063,-27.6254714593862,"3",./0.png
-48.6869589022814,-27.6254080527888,"3",./0.png
-48.6873366074368,-27.6253657817034,"3",./0.png
-48.6872213079683,-27.6254397560921,"3",./0.png
-48.6871417910935,-27.6254362335033,"3",./0.png
-48.6870742017499,-27.6253974850189,"3",./0.png
-48.6872292596558,-27.625379872067,"3",./0.png
-48.6870702259061,-27.6252988524515,"3",./0.png
-48.6871576944685,-27.6252882846711,"2",./1.png
-48.6872292596558,-27.6252671491074,"2",./1.png
-48.6873286557493,-27.625210787584,"2",./1.png
-48.6874002209367,-27.6251685164225,"2",./1.png
-48.6874121484679,-27.6253094202308,"2",./1.png
-48.687503592874,-27.6252530587292,"3",./0.png
-48.6875672063738,-27.6252248779676,"3",./0.png
-48.6876308198737,-27.6251649938249,"3",./0.png
-48.687702385061,-27.6251544260317,"3",./0.png
-48.6877779260921,-27.6251156774476,"3",./0.png
-48.687841539592,-27.625052270644,"3",./0.png
-48.6878932255606,-27.6249853412005,"3",./0.png
-48.687948887373,-27.6249606829741,"3",./0.png
-48.6880363559353,-27.6249219343215,"3",./0.png
-48.6883822543409,-27.6247810300144,"3",./0.png
-48.6882749065598,-27.6248233013255,"3",./0.png
-48.6882073172162,-27.6248479595829,"3",./0.png
-48.6881158728102,-27.6248831856551,"3",./0.png
-48.6884697229032,-27.6247528491312,"3",./0.png
-48.6885375507974,-27.624734449359,"3",./0.png
-48.6886131713454,-27.6246972270918,"3",./0.png
-48.6886803896102,-27.6246451158964,"3",./0.png
-48.6887224010258,-27.6246935048644,"3",./0.png
-48.6888190272815,-27.6246078935988,"3",./0.png
-48.6888652398386,-27.6246041713683,"3",./0.png
-48.6889240558203,-27.624596726907,"3",./0.png
-48.6889954752267,-27.6245781157516,"3",./0.png
-48.6890626934916,-27.624559504593,"3",./0.png
-48.6891173083318,-27.6245297267326,"3",./0.png
-48.6892181357291,-27.62449622663,"3",./0.png
-48.6891383140396,-27.6244106152102,"2",./1.png
-48.6858992339018,-27.6260372207394,"1",./2.png
-48.6860798829886,-27.6262270518465,"1",./2.png
-48.686037871573,-27.6263908274391,"3",./0.png
-48.6859622510251,-27.6264466599715,"3",./0.png
-48.6860966875548,-27.626357327906,"3",./0.png
-48.6857900042214,-27.6261153865292,"3",./0.png
-48.6857437916643,-27.6261786635563,"3",./0.png
-48.6856849756825,-27.6262344961969,"3",./0.png
-48.6858362167784,-27.6264838816439,"2",./1.png
-48.6859034350433,-27.6265694914424,"2",./1.png
-48.685916038468,-27.6266551011741,"2",./1.png
-48.6859748544497,-27.6266588233348,"2",./1.png
-48.6857437916643,-27.6263275505346,"2",./1.png
-48.6856849756825,-27.6265173811383,"2",./1.png
-48.6857395905227,-27.6265620471148,"2",./1.png
-48.6857689985136,-27.6266327682071,"2",./1.png
-48.6857816019383,-27.6266886006161,"2",./1.png
-48.6856891768241,-27.6267109335717,"2",./1.png
-48.6856891768241,-27.6267109335717,"2",./1.png
-48.6856471654085,-27.6266178795599,"2",./1.png
